user_name,text,place_name,country
Carlos71908200,"El compañero Baños censurado, luego las miserables periodistas que defienden este gobierno dirán que no hay censura,mentirosos y vendidos!",Murcia,ES
FrandeleonPP,@pmarmar1956 @IdiazAyuso Yo soy del pp como ayuso almeida y casado. Quizás la pena es que tú no nos votes ;),Madrid,ES
elysan0863,"Esta mujer está luchando contra la pandemia y contra el pu.. gobierno comunista!!
Bravo por ella!!👏👏👏👏",Jaén,ES
Eloy99_bmx,"@WeekendInBalow Ese tío es un disminuido mental.

Iker tiene de derecha lo que ese hombre de amante de la libertad.… https://t.co/Au1SlaiHor",Vilagarcía de Arousa,ES
alepalcor,"Que la gente sea retrasa es culpa del gobierno social comunista, está claro.",Barcelona,ES
jgalfer,Yo quiero un líder de alternativa al gobierno y no uno de oposición. Que registre públicamente sus propuestas y las… https://t.co/1jZ0ZRwMck,Sevilla,ES
gemmablanco__,@anabarcelochico Todo el esfuerzo que estamos haciendo los que velamos por la seguridad de los ciudadanos no va a s… https://t.co/a0hNuXWltk,Valencia,ES
gemmablanco__,@anabarcelochico Todo el esfuerzo que estamos haciendo los que velamos por la seguridad de los ciudadanos no va a s… https://t.co/Vh5OcGu9Rh,Valencia,ES
cagolahostia,Que cojones tendra que ver Sanchez con la irresponsabilidad de muchos padres,Vilanova i la Geltrú,ES
mer_buigues,Que la sociedad no sepa acatar unas normas NO es culpa de un Gobierno y da igual la ideología,Alicante,ES
SarayGutierre97,"Yo no me meto en política, pero es de risa que primero le exijan al gobierno que dejen salir a los niños/as y luego… https://t.co/lG5xCn360I",Bormujos,ES
angelcruz71,@Consensador Yo no me sorprendo. Lo que me sorprendo es que la gente se indigne cuando dice que el gobierno nos trata como niños.,Valencia,ES
Suleony,"ES HORA DE PERU FABRICANTE
BASTA DE CHINA NI DE NINGUN LUGAR
NOSOTROS PODEMOS FABRICAR TODO",Orihuela,ES
EleEls,esperando sentada y sosegada a que aumente el número de contagios y le tiréis mierda al gobierno 😁 https://t.co/0WYUpWm0Pk,Malpartida de Plasencia,ES
cf_posadas,"por vender. Al filo del descanso, Benito protagoniza una acción por banda izquierda del ataque español que termina… https://t.co/Zk3IV01kTZ",Posadas,ES
patriramos16,"No es el culpa del gobierno porque no ha obligado a punta de pistola que salgan, pero si es su culpa que haya dado… https://t.co/D2FYhbqPK5",Trujillo,ES
cyberparanoic,"Cuanto tardará la derecha em decir que es una imprudencia dejar salir a los niños, que la culpa es de @PabloIglesias.
#paisdepandereta",Puerto Real,ES
JiBorrell,@elnacionalcat El Gobierno de Españistán niega que sea un estado de matriz franquista,Barcelona,ES
frescoyseco,"Si no podemos poner a parir a nuestros congéneres, ¿qué nos queda? ¿Mirarnos mutuamente en silencio? ¿Salir a aplau… https://t.co/ocRcDVhyYN",Madrid,ES
prblancoes,"Parece que al PP se le quitan los complejos, Maroto.",Madrid,ES
CMarieh2,Miedo me da cuando el Gobierno diga que es oficial que a partir del día 2 iremos a hacer deporte... Yo que hago dep… https://t.co/hzzu9CNsOh,Málaga,ES
joaquimbachs,#LoEstamosConsiguiendo El Máster de Abogacía de Rabago se lo va a sacar en Universidad Juan Carlos I. Los del PP ti… https://t.co/u1q38zN75j,Barcelona,ES
Tonimurpe,@lachurrera2 @protestona1 Sólo quería decir que no creo que sea de Izquierdas. Al menos que vote al PSOE o Podemos.,Badalona,ES
luciadeluna,"A Pablo Iglesias ""le pillan"" al ir a comprar al supermercado sin mascarilla (aunque lleva guantes). Almeida y Ayuso… https://t.co/nvznHqn1TD",Madrid,ES
jpaul2481,"El aislamiento inteligente del gobierno es un... "" salvese quien pueda"" como siempre los muertos los van a poner los pobres.",Torrevieja,ES
GuillePrieto10,Mi pregunta era si de verdad el gobierno se pensaba que todo el mundo iba a respetar todas las normas a la hora de… https://t.co/FqeUtc9Ptl,Sevilla,ES
andreabm00,Bueno Rosa el gobierno no obliga el uso d mascarillas a no se q este uno infectado y guantes pues si q lleva y buen… https://t.co/NYhaXFjFg1,Entrena,ES
ismaelito2306,Espero que los padres sean más responsables que este gobierno,Jamilena,ES
Rodrigoasalina,@CGT_Diego Muchos y muchas de lo q aplauden todo los días a la hora de votar lo hacen al PP y a VOX  q son los part… https://t.co/3h4Vet48Je,El Coronil,ES
jbentabol,80 indignidades del Gobierno Vasco,Sevilla,ES
pacoguillotina,@Oak_blanco @iBarbarellah Te falta por decir del gobierno socialcomunista y todo arreglado.,Jerez de la Frontera,ES
prblancoes,@PatriciaSbd @RubenSanchezTW @LaFlamencadeBgn Pero el delito es ser de Vox o vender mascarillas con la bandera de España? 😂,Madrid,ES
CalixtoRodrigu,El Gobierno niega haber visto imágenes de aglomeraciones vía @elnacionalcat_e https://t.co/D9LHnRKFgH,Barcelona,ES
estoyhastalosc4,"Pero vamos a ver. El gobierno no es responsable de que parte de nuestros compatriotas sean unos listillos. 
Las nor… https://t.co/b762pJX8Ud",Zaragoza,ES
antramaliada,@vox_es Yo escuchando a los fachas quejarse: https://t.co/iNu0wx2uJB,Canet de Mar,ES
abecarub,@carmenmon73 @Migueln02965086 Estos de VOX no saben ya lo que sacar¡!!,Jaén,ES
GranaVeleta,"@MaiaAnttton9 Por supuesto padres irresponsables,  el gobierno lo hace  por el bien de los niños, mis nietas de 2 y… https://t.co/2NcJknKCx7",Granada,ES
enrosinat,"El Gobierno dijo que los niños salieran acompañados de personas adultas y responsables, no #irresponsables...",Alicante,ES
tinjarsia,"@ximances Total! Nunca había visto una derecha tan descerebrada. Les desmontan sus bulos, y luego achacan que les c… https://t.co/4WROdmf7se",Barcelona,ES
karengianinna,"Lleváis 2 meses con el ñiñiñí x la gestión del Gobierno ante la pandemia
Hoy, 26/04, cuando x fin abre la mano, os… https://t.co/8QJ5CIVDqE",Barcelona,ES
EmiliAgudo,@PaulaVazquezTV El gobierno tampoco ha tomado las decisiones más adecuadas ni las personas apropiadas.,Molins de Rei,ES
carlitosga98,Hoy nos merecemos un tirón de orejas del gobierno a ver si nos enteramos https://t.co/u3zXTehgDX,Ubrique,ES
franjapeva78,@malakahin Es lógico q la gente piense q las leyes no van con ellos puesto q este gobierno hace con ellas lo que le… https://t.co/FdrOtjANpf,Málaga,ES
Leosegmar,"Claro, por que gilipollas solo son los de derecha, los votantes de izquierda no tienen hijos😂",Seville,ES
CumbresTheBoss,Qué curioso que para Twitter hoy solo han salido a la calle gente de Vox,Cáceres,ES
NereaMJ2000,Espero no ver comentarios por Facebook de padres enfurecidos por la gestión del Gobierno porque piso cabezas,Ronda,ES
marikilla29,Hoy me dirigo a toda españa entera;me parece muy bien que el gobierno de permiso para sacar a los cri@s pero enseri… https://t.co/vV5mCGTOtU,La Unión,ES
abecarub,"@LTetecio Esta vez le toca a los padres pero ojo,...sólo a los padres que votan al PSOE y UP¡!! Los padres que vota… https://t.co/54Td5u5pEY",Jaén,ES
iriaapinheiro,podemos dejar de buscar al culpable y empezar a buscar soluciones? gracias.,Ames,ES
FDE33,@SergioLopezLei1 @eme_73 no esa culpa la tienen los padres que no cumplen con las reglas el gobierno no tiene nada… https://t.co/FxHstiAN4d,León,ES
Daniel_Sanz_C,Las fotos del duelo y la desvergüenza del gobierno de Sánchez. https://t.co/gPXwtq6c8O,Madrid,ES
PabloIglesiasF,Me sumo a la máxima condena a este comportamiento fascista por parte del concejal de Vox en el Ayuntamiento de Bada… https://t.co/6cXwx2yolc,Badajoz,ES
FDE33,@SergioLopezLei1 @eme_73 Entonces no es el gobierno y cómo se te nota que eres de derechas derechas dura y pura fascista hasta las hasta,León,ES
Bolzoni88,"Y con esto no quiero decir que el gobierno lo este haciendo bien ni mucho menos, pero es que fue hablar de putas la tacones...",Valladolid,ES
Migueprados,"Ahora salís a las 19 a darle una cacerolada al gobierno y a las 20 a aplaudir a los que se están jugando la vida.
L… https://t.co/yChySmIP3n",Granada,ES
Cobiqueronalero,"@ldpsincomplejos Lo veremos en 15 días, pero al igual que criticar al gobierno (obviamente es una medida que ni ben… https://t.co/qmeudcAa2e",Madrid,ES
AnaDelOlmo10,@Esprituindomab1 @Elgdbb Pues creo que es a los amigos del gobierno a mis amigos no.,León,ES
Robcampnou67,Vídeo | Negre humillado en el Sálvame Deluxe: «Es la caída de la extrema derecha mediática» https://t.co/TGnzF8FmEj… https://t.co/SvLCIBbPmj,Valladolid,ES
carmendieciocho,"Desde luego que vergüenza ajena me da la gente de este pais, y el gobierno los primeros, que son los principales culpables de todo esto.",Las Rozas de Madrid,ES
brianvallemu,¿Cómo podemos culpabilizar a un dirigente político por lo que alguien haga a título propio y de forma egoísta? ¿Aca… https://t.co/F2YoW0hg30,Palencia,ES
TANIABENITEZ1,Esta irresponsabilidad lo pagaremos! Tanto el gobierno central como el gobierno de la Comunidad Valenciana son unos… https://t.co/IYJEMPBFeU,Cogollos,ES
luisrmcf,Espero que el gobierno prohiba mañana mismo lo que ha permitido hoy,Madrid,ES
frescoyseco,Mucho tuitero se alegró tanto por lo del gobierno de coalición (sic lol) que el confeti les obstruyó la arteria de la capacidad crítica.,Madrid,ES
AbellaMonrea,@PadelSPIN @alfreyes14 Tiene cara de Podemos,Barcelona,ES
jesusgres,"@CoNiCiO1 @Francis16893780 @MonederoJC @IdiazAyuso Cierto, Iglesias sólo es vicepresidente.",Madrid,ES
JesusGR1985,@granadadigital @salvadorilla @desdelamoncloa @Teresaribera El gobierno está gilipollas... Pero que cojones si nada… https://t.co/W803gW23KH,Granada,ES
Plz131,@alvarodracula @David_Higuera7 El que juega es Sánchez y Iglesias y nadie hace nada,Madrid,ES
claratroncoso2,"@Mar_Montoro Mucha Gente lerda que se ha visto ..  Aquí cada uno va a lo suyo Mar. Es incleíble, como el Gobierno s… https://t.co/ETb4xu69Hy",Vigo,ES
chrstntrj,"@RubenSanchezTW Ella ya es famosa aquí por su bonita poesía titulada “Facha me llaman y facha soy”.
https://t.co/OIceaVUiGy",Alicante,ES
JesusGR1985,@granadadigital @salvadorilla @desdelamoncloa @Teresaribera Y vamos tanto el gobierno como la oposición son igual d… https://t.co/otkfqLaPKb,Granada,ES
torreviejalook,"@astro_duque ¿ De verdad ? ¿ Donde podemos comprobar ese dato, Ministro ?",Torrevieja,ES
anvasa125,los artistas podemos acceder a sus canales de YouTube). ESTA BATALLA LA TENEMOS CASI GANADA (un último esfuerzo que… https://t.co/oSY0W2opVz,Santa Olalla del Cala,ES
Karla_G_P,@elisabeni Luego será culpa del gobierno 🤷‍♀️🤷‍♀️,Jaén,ES
pakoelperro,@MRRC1110 @TxusMarcano El pasmo les dará cuando se enteren que la derecha de Portugal apoya sin fisuras su a su gob… https://t.co/hXBnHcfCOL,Córdoba,ES
patridunk,La izquierda tiene al consumidor de Sálvame y https://t.co/C4gqd5Wlpz. Ese es el nivel. Son legión.,Madrid,ES
sergiosnbl,@diegoodrt El gobierno es responsable de que tu vayas a 180km/h por una carretera?,Cebreros,ES
carmen81533233,@elpais_espana @el_pais Que clase de politica tenemos el presidente para los desprecios y los palos  simberguenzas,Vallromanes,ES
cheekyfujedi,"@Adriansanzsanz Man, si tú sigues creyendo que el repunte que se nos viene es culpa del gobierno y no del egoísmo y… https://t.co/d3Qv0zPW0V",Badalona,ES
Alepf_5,Si las medidas que te pone el gobierno es que actues con responsabilidad y se hagan paseos de 1 h acompañados por u… https://t.co/03WQg1u7d5,Cádiz,ES
sergiosnbl,@diegoodrt El gobierno ha cumplido con su responsabilidad procurando unas medidas que permitan a los padres sacar a… https://t.co/fYnCQCm2RX,Cebreros,ES
Agaleano1990,Bueno pues ya tienen a quien echar la culpa! El gobierno lo hizo todo bien pero claro es que tienen que luchar cont… https://t.co/NdESWzT2ON,Madrid,ES
Matpaiper,@mark_madoff @TeoGarciaEgea El PP de toda Ñ al mando de Casado son unos descerebrados el 8 de marzo dijo qué el vir… https://t.co/vAwzAh6aIm,Tortosa,ES
lassenoughes,"@satirika666 @RaquelJaime16 @asemeyu Toma el negro de vox para ti también , escoria pero tú ya ni escoria humana ,… https://t.co/pDC2bV9SwI",Vilafranca del Penedès,ES
davidzannak,"@pilar_diz La culpa la tiene gobierno por permitir que salgan, siendo el principal foco de contagio, y los padres c… https://t.co/rtF6Swts9O",Madrid,ES
PaulaOrtiz_,Ahora toca a los ciudadanos demostrar civismo. Toda la gente que hoy salía en comandita y no respetaba las normas l… https://t.co/AyXVRwNqix,Madrid,ES
DanniElHutt,Putos subnormales macho. Ya no vamos a poder criticar ni al gobierno siquiera.,Béjar,ES
sergi1301,Vox los tiene enormes,Alcalá de Henares,ES
AmsoAntonio,"@sin_complejos_ El gobierno ha legislado.
A La gente le das el dedo y se coge la mano.
No saques provecho de ello no seas miserable.",Barberà del Vallès,ES
jpmencia,"Qué buenos ciudadanos sois todos los que os quejáis de que la gente haya hecho el subnormal saliendo a la calle, se… https://t.co/5o7TL1aIl5",San Andrés del Rabanedo,ES
JPOMBOPAK,Alucinante el gobierno de @sanchezcastejon cada día se supera así mismo... #VeteYaSanchez #TicTac #SosEspaña https://t.co/ifGoCba4LO,Aranjuez,ES
mikemoratinos,Hoy va a ser muy interesante escuchar la rueda de prensa del Presidente del Gobierno italiano. Lo que Italia va a h… https://t.co/r3oscjtTUJ,Valladolid,ES
pvilhenaoliver,¿Que el gobierno me va a obligar a correr? Putos runners. Voy a hacer fotos por la ventana. https://t.co/a89BXsUtTJ,Málaga,ES
AbrahamBiologia,".@EsperanzAguirre en @LiarlaPardo: yo me acuerdo que estuve en el Hospital el 18 de marzo, que Pablo Iglesias decía… https://t.co/ZD2w7g1GVc",Priego de Córdoba,ES
